character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
nico-robin,cmd:2+4,8,0.0011987059048041981,0.9996568723327081,1.0007459932500629,0.999650909003642,1.0004527126547413
rukia-kuchiki,jabright,11,0.001196188553667099,0.999334926064841,1.0002560785522145,0.9995841548916478,1.000531114618508
riven,kickleft,4,0.0011952258126715076,0.9995169370880743,1.000131189283572,0.9998861095049526,1.0007121629007458
gotenks-super-saiyan,sprint,10,0.0011933113219588787,0.9994431305800818,1.000412302010726,0.9993635580979593,1.0004148316333257
kakashi-hatake,cmd:1+4,10,0.0011929998007196296,0.9995939886188431,1.0006152314751844,0.9996864112330877,1.0005777683255352
train-heartnet,walkForward,8,0.0011929746692165288,0.9996482567605673,1.000585879574612,0.9997296784133806,1.0006070950946044
fuusuke,backflip,8,0.0011917749759470242,0.9993731229177373,1.000316121553152,0.9994351021063157,1.0003407627404506
goku,sprint,10,0.0011904310634052173,0.9994611764625261,1.000163485365245,0.9993483924740687,1.0004014707301203
kenshin-himura,cmd:2+3,12,0.001190038197010912,0.9998144054146202,1.0006481726582162,0.9996869515976117,1.0005418655387948
riven,cmd:f+2,4,0.0011867346511209576,0.9998589994765676,1.0007197566464847,0.9996910402111565,1.0004669780046362
kurama,walkForward,8,0.0011844637182725215,0.9993516811257543,1.00033703996297,0.9994638551559731,1.000352338648076
bobobo-bo-bo-bobo,kickleft,6,0.0011814081307569557,0.9992840597844554,1.000392085478,0.9995345320847876,1.0004342877763697
kagura,crouchBlock,8,0.0011799285217439781,0.9994334788129147,1.0001736168347835,0.9993865926653414,1.0002066223268105
jotaro-kujo,crouchBlock,8,0.001179405421119828,0.999634927330343,1.000583183311038,0.9994037778899181,1.0003144653549727
killua-zoldyck,getupStand,7,0.0011777832152848333,0.9996009905774341,1.0002704306595795,0.999221226207281,1.000558167971876
roronoa-zoro,jabright,8,0.0011768125235778193,0.999618234708273,1.0004334231854979,0.9997225605674801,1.00074338933808
nami-perfect-clima-tact,cmd:1+3,9,0.0011768042634312526,0.9996478131763048,1.0003928884191453,0.9992160841557141,1.0004321361587039
goku-super-saiyan,jableft,6,0.0011755751995108366,0.9997939260143528,1.0006497286782314,0.9995967161234462,1.0005258465212794
train-heartnet,knockdown,4,0.0011748155154024387,0.9999949667554195,1.0007994403032028,0.9996246247878003,1.0002037188983037
dio,getupStand,9,0.001173961522433764,0.999644730550676,1.0004851044125567,0.9993111428901229,1.000097859405661
kurama,getupStand,8,0.0011715606044807592,0.9997553041018387,1.0001361474225716,0.9997939261962001,1.0009268647063194
kenshiro,crouchBlock,8,0.0011706243932955163,0.9991685534740415,1.0002314163596366,0.9996608221326629,1.000264392467193
hiei,getupStand,8,0.0011703562073419604,0.9999357488542759,1.0005155443478873,0.9993451881405453,1.0003027158626863
yoh-asakura-power-sword,cmd:2+3,9,0.00116738233345981,0.9996990001385795,1.0005859959728423,0.9994186136393824,1.0001710114257008
vegeta,cmd:1+2,5,0.0011644498078309251,0.9995848410893725,1.0001875547561998,0.9992507091027966,1.000012517623452
nami-perfect-clima-tact,sprint,10,0.001163012661266949,0.9998666626752959,1.000627576863801,0.9998347291335351,1.0005354357974658
don-patch-poppa-rocks,kickright,8,0.0011605958817646478,0.9997922906790507,1.00059153832239,0.9994309424406254,1.000362708247942
ichigo-kurosaki,backflip,8,0.0011597468827755364,0.9994625577259656,1.000629064024256,0.9995745185892043,1.0005306828585194
yoh-asakura-power-sword,cmd:1+2,8,0.0011594337203291172,0.9997252029662156,1.0007422841868667,0.9995828504665376,1.0001176374770584
ryotsu-kankichi,cmd:3+4,6,0.0011580158177038058,0.9995755586350832,1.0003460882138073,0.9999121840908666,1.000733574452787
majin-buu,cmd:3+4,8,0.0011570861506968733,0.9996162672560233,1.00064372043774,0.9995631154110474,1.0005133657129568
raoh,jableft,8,0.0011559089581322235,0.9993672065560061,1.0001378978923943,0.9997827377617031,1.0005231155141383
yoh-asakura-power-sword,walkForward,7,0.0011545712219585003,0.999702854273327,1.0006375228828077,0.9997082702204984,1.0005170483391508
frieza,jableft,7,0.0011544302857628974,0.9994276945111077,1.0006630802544672,0.9995086499687043,1.0002658967544662
gintoki-sakata,walkForward,8,0.0011540733852661855,0.9994039114076508,1.000181389980736,0.999442015207083,1.0004296652838371
kenshin-himura,cmd:1+2+3,7,0.001153600252461695,0.9997183008447224,1.0005393642788962,0.9995734734127145,1.0006142359735655
piccolo,cmd:1+3,13,0.0011529295991477007,0.9992982095599858,1.0002474671830073,0.9995488608408665,1.000146209542783
nami-perfect-clima-tact,backflip,8,0.0011517594561929467,0.9993896914783884,1.0003422435429923,0.9998345837379805,1.0005414509345814
roronoa-zoro,cmd:1+3,8,0.0011514109191701483,0.9996729412481214,1.0005897293566148,0.9998935957100418,1.0005616815625553
yusuke-urameshi,sprint,10,0.0011512472837853505,0.9997710292404841,1.0006878827161882,0.9995366354324029,1.0003559511391718
hiei,backflip,8,0.0011504719261172802,0.9996179526934401,1.000521566356528,0.9993710944304106,1.0001537905380338
piccolo,sprint,10,0.0011491480488479144,0.9994820587208008,1.0004295866914596,0.9993687932303513,1.0003595513574555
sakura-haruno,walkForward,8,0.0011490509396507864,0.9992917579478069,1.0003020548707584,0.9995591911125423,1.0002516788737053
yoh-asakura-power-sword,cmd:1+3,6,0.001148995933096142,0.9996864092410547,1.0006018107244343,0.999826670368675,1.0005471852086618
yoh-asakura-power-sword,jabright,6,0.001148995933096142,0.9996864092410547,1.0006018107244343,0.999826670368675,1.0005471852086618
riven,cmd:1+2,11,0.0011488111755819652,0.9996222307865763,1.0005070985932736,0.9998119678780064,1.0006417125823084
train-heartnet,backflip,8,0.0011482056509795058,0.9996535268701704,1.000496170189245,0.9997950011774229,1.0006520354617345
franky,knockdown,4,0.0011473367619165842,0.9996205023825766,1.0000857202848734,0.9998096560986063,1.0007678391444932
caramelman-j,chargeKi,8,0.0011468335260462759,0.9994395359175738,1.000277586492447,0.9997173205061295,1.0005863694436201
allen-walker,getupStand,8,0.0011453194994044402,0.9995410583643095,1.000308001278473,0.999313622136286,1.0004933208056068
riven,cmd:2+3,7,0.0011451456608710942,0.9997107536784211,1.0004235434756779,0.9996702256364461,1.0007216021851932
kenshiro,backflip,8,0.0011443752111425232,0.9996370537878194,1.0005951651580338,0.9994507899468913,1.0002499364239636
nico-robin,sprint,10,0.0011443566739237632,0.999513248099166,1.0001981706356584,0.9995421074106351,1.0006576047730897
bobobo-bo-bo-bobo,walkForward,8,0.0011428521667770086,0.9995913927530287,1.0005582686074517,0.9994154164406747,1.0002686280576638
ryotsu-kankichi,sprint,10,0.0011354606587068439,0.9995363541852484,1.0005701913154597,0.999552812561905,1.0005652693432472
sakura-haruno,kickleft,12,0.0011350407568070375,0.999592119773053,1.000220166678803,0.99927283947014,1.0002735389531423
ichigo-kurosaki,getupStand,7,0.0011350325729556632,0.999757032347035,1.0,0.9998391628892244,1.0008920649199906
raoh,cmd:1+2,13,0.001134647365752972,0.9996077139369287,1.000373469789005,0.9992576386973183,1.0001901041949346
ryotsu-kankichi,cmd:1+3,7,0.001133283190910217,0.9996377552385796,1.0005764176947574,0.9994431345038471,1.0001867918356586
goku-super-saiyan,sprint,10,0.0011317584882402087,0.9991853200952694,1.0003179059829042,0.9997534129671459,1.0003170785835096
frieza,cmd:3+4,6,0.0011315598323609066,0.999287020479158,1.0003795527542458,0.9995814196884811,1.0002556331958383
gintoki-sakata,cmd:1+4,5,0.0011303192157550157,0.9995439120054571,1.0004564802182812,0.9995532019270745,1.0006738389974739
raoh,cmd:2+3,16,0.0011300740296553702,0.9994059161152486,1.0005815656068253,0.9996226778950584,1.000535990144904
kakashi-hatake,backflip,8,0.0011296765375490292,0.9994042344991683,1.0003777006391406,0.9996275674173037,1.0005339110367173
gotenks,knockdown,4,0.0011293183760946457,0.9999899333081665,1.000791604379011,0.9996622860029164,1.0001757782856158
yoh-asakura-power-sword,cmd:d+1+2,8,0.0011291362745385891,0.9994862653033733,1.000258077973791,0.9998580784467356,1.0006154015779118
vegeta,kickleft,6,0.0011280052003890262,0.99946268475965,1.000695383239314,0.9995673780389249,1.000147524622742
momotaro-tsurugi,cmd:3+4,6,0.00112458575077512,0.9994901766341036,1.000280518691926,0.9998817048026605,1.0006147623848787
kurama,backflip,8,0.001123208794504671,0.9997050277443655,1.0006493848667735,0.9995261760722688,1.0002948068791655
heihachi-edajima,chargeKi,8,0.0011220263558067156,0.9996936857450993,1.0004152426163075,0.9997423856309838,1.0007067837394992
yusuke-urameshi,cmd:1+2,10,0.0011217643780597752,0.9994779127365617,1.0004254802136454,0.9994003228853785,1.0002711420532837
