character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
yasutora-sado,idle,4,1.7477986549274682e-05,0.9999898270600204,1.0,0.9999926949534303,1.0000024350155232
kakashi-hatake,knockdown,4,1.738842437470911e-05,0.9999920737458685,1.0000026420847106,0.9999905378297568,1.0000000000000002
taikoubou,backflip,8,1.7369457755656015e-05,0.9999924959290416,1.0,0.9999901346132027,1.0000000000000002
dragon-shiryu,chargeKi,5,1.7315541836371295e-05,0.9999923033111155,1.0000076966888845,1.0,1.000009618852952
dragon-shiryu,crouch,5,1.7315541836371295e-05,0.9999923033111155,1.0000076966888845,1.0,1.000009618852952
dragon-shiryu,kickleft,5,1.7315541836371295e-05,0.9999923033111155,1.0000076966888845,1.0,1.000009618852952
train-heartnet,cmd:1+4,10,1.7183719455693414e-05,0.9999876257532821,1.0000123742467177,0.9999951905272625,1.0000048094727378
train-heartnet,jabright,6,1.7183719455693414e-05,0.9999876257532821,1.0000123742467177,0.9999951905272625,1.0000048094727378
train-heartnet,crouchBlock,8,1.718371945558239e-05,0.9999876257532821,1.0000123742467177,0.9999951905272623,1.0000000000000002
train-heartnet,jableft,6,1.718371945558239e-05,0.9999999999999999,1.0000123742467177,1.0,1.0000048094727378
train-heartnet,backflip,8,1.718371945547137e-05,0.9999876257532821,1.0000123742467177,0.9999951905272625,1.0000048094727376
train-heartnet,cmd:1+2,6,1.718371945547137e-05,1.0,1.0000123742467177,0.9999951905272623,1.0000048094727376
train-heartnet,sprint,10,1.718371945547137e-05,0.9999876257532821,1.0,1.0,1.0000048094727376
train-heartnet,walkForward,8,1.718371945547137e-05,0.9999876257532821,1.0,0.9999951905272627,1.0000048094727376
yusuke-urameshi,backflip,8,1.7161260639109166e-05,0.9999959099702654,1.0000122700892033,0.9999951088285642,1.0
yusuke-urameshi,cmd:1+2,10,1.7161160269951736e-05,0.9999877300111658,1.0000040899962783,0.9999951088285642,1.0
yusuke-urameshi,sprint,10,1.716116026961867e-05,0.9999877300111658,1.0000040899962783,0.9999951088285646,1.0000000000000002
goku,kickleft,8,1.7140791151781798e-05,0.9999924784319034,1.0000025071893655,0.9999903807769448,1.0000000000000004
kenshiro,jableft,8,1.7052994446986602e-05,0.9999881934851652,1.0000039355049453,0.9999947535203878,1.0000000000000002
jaguar-junichi,walkForward,8,1.7008249807437537e-05,0.9999902058725587,1.000009794127441,0.9999975952925447,1.0000072141223662
jaguar-junichi,crouchBlock,8,1.7008215111413705e-05,0.9999999999999998,1.000009794127441,0.9999927859123297,1.0000024046958904
neuro-nogami,backflip,8,1.675478643758943e-05,0.9999880547094309,1.0000000000000002,0.9999999999999996,1.0000048094958685
dio,backflip,8,1.6736033557562813e-05,0.9999879529683886,1.0000120470316114,0.9999953109980538,1.0000046890019458
dio,getupStand,9,1.6736033557562813e-05,0.9999879529683885,1.0000120470316114,0.999995310998054,1.000004689001946
dio,sprint,10,1.673603355745179e-05,0.9999879529683886,1.0000000000000002,0.9999953109980543,1.000004689001946
dio,idle,6,1.6735888428320855e-05,0.9999879531135177,1.0,1.0,1.000004689001946
kiro,cmd:FC+3+4,7,1.672345623127125e-05,0.9999929611172115,1.0000000000000002,0.9999999999999996,1.0000096845734427
kiro,cmd:f+1,5,1.672345623127125e-05,0.9999929611172115,1.0000000000000002,0.9999999999999998,1.0000096845734427
kiro,jableft,5,1.672345623127125e-05,0.9999929611172115,1.0000000000000002,0.9999999999999998,1.0000096845734427
gohan-super-saiyan,backflip,8,1.6684258034693755e-05,1.0,1.0000117521241965,0.9999999999999998,1.0000049321338382
