character,animation,frames,silhouette_width_min,silhouette_width_max,height_min,height_max,recorded_center_abs_max
yoh-asakura-power-sword,cmd:2+4,6,2.32991,4.73206,2.09212,6.10627,0.5659449124
toshiro-hitsugaya,chargeKi,8,1.42563,2.8953100000000003,2.40836,3.4415000000000004,0.5987770039
roronoa-zoro,juggle,2,1.12842,2.28846,0.74461,2.16795,0.0846655125
gon-freecss,cmd:1+3,13,1.24032,2.5124199999999997,1.3953299999999997,2.22093,0.2284821212
killua-zoldyck,getupStand,7,1.17312,2.3707200000000004,0.45975999999999995,2.2346000000000004,0.4057336943
yasutora-sado,jabright,6,0.9868100000000001,1.9937,1.4555,2.00511,0.06171456
bobobo-bo-bo-bobo,cmd:3+4,5,1.1153899999999999,2.25292,1.37434,1.70126,0.5544633514
kurama,getupStand,8,1.14482,2.31197,0.69148,1.78481,0.4183029206
eve,jabright,8,1.41326,2.84982,1.64256,2.13924,0.33933506970000005
kenshiro,kickright,10,1.0715599999999998,2.1605000000000003,1.9427500000000002,2.42597,0.20854226250000002
goku,getupStand,8,1.8288000000000002,3.6856999999999998,1.27983,2.52894,0.49326494340000004
jotaro-kujo,sprint,10,1.13005,2.27668,0.34055,1.8211699999999997,0.22776000000000002
momotaro-tsurugi,cmd:1+2,6,1.5009299999999999,3.02255,1.70115,2.8792999999999997,0.33681414179999997
momotaro-tsurugi,jableft,6,1.5009299999999999,3.02255,1.70115,2.8792999999999997,0.33681414179999997
sakura-haruno,cmd:1+2,11,1.11348,2.23939,1.72434,2.38149,0.194811522
renji-abarai,sprint,10,1.27591,2.5638199999999998,0.43969,3.42827,0.2550296039
goku-super-saiyan,jabright,6,1.3661699999999999,2.74375,1.68404,2.15342,0.16119999999999998
neuro-nogami,cmd:2+4,9,0.80429,1.6150000000000002,1.6359199999999998,2.22621,0.2131920665
franky,crouchBlock,8,1.27535,2.5606999999999998,1.56856,2.45527,0.21749910000000003
train-heartnet,cmd:3+4,6,0.81811,1.6362200000000002,1.5366600000000001,2.1831500000000004,0.1432432476
nami,cmd:1+2,10,1.38864,2.7733499999999998,1.59886,2.59886,0.1985445
hiei,cmd:1+2,4,1.14331,2.2833699999999997,1.2572199999999998,2.42597,0.2038680222
gotenks-super-saiyan,crouchBlock,8,1.0745500000000001,2.14595,1.49885,2.14595,0.128011882
eve,crouchBlock,8,1.3955199999999999,2.77955,1.32166,2.274,0.599126125
ryotsu-kankichi,getupStand,8,1.31145,2.60887,0.8348,2.02721,0.2186843412
kenshin-himura,crouchBlock,8,1.33811,2.65443,1.2889599999999999,2.73405,0.43406233019999996
yugi-mutou,getupStand,8,1.23416,2.44816,0.52104,2.0082000000000004,0.3488394822
franky,cmd:2+3,13,1.26725,2.51332,1.5031400000000001,2.6672700000000003,0.1790793561
