character,animation,frames,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio,scale_min,scale_max,score
arale-norimaki,juggle,2,0.9955988871901551,1.004401112809845,0.8375189939143116,1.1624810060856885,0.75,0.75649,0.16836667377159542
arale-norimaki,jump,3,0.9490010717948324,1.1570140875479031,0.942164990815044,1.1570264913468047,0.75,0.92105,0.3367599438755466
arale-norimaki,knockdown,5,0.8446053923247268,1.2572768988425451,0.9392887684499283,1.1742039737452936,0.81373,1.01711,0.4302601130508207
arale-norimaki,sprint,10,0.7440354825230452,1.1090302215643928,0.6830553280794127,1.1937525882979352,0.75,0.92209,0.5565683824067602
arale-norimaki,walkForward,8,0.7833515187122887,1.3178213605150346,0.772229354503913,1.320829705707301,0.75526,1.29167,0.7797275220163219
bobobo-bo-bo-bobo,backflip,8,0.46272869311022624,1.6394486165011843,0.41252677186676845,1.727622412052879,0.75,1.35,1.4112915819535896
bobobo-bo-bo-bobo,chargeKi,5,0.45934756408122923,1.106866764496755,0.9509259991638322,1.3293935524695193,0.80952,1.13158,0.8148150140207817
bobobo-bo-bo-bobo,cmd:1+2,7,0.8559764738572686,1.2526235354049924,0.6150069013278444,1.2727539424135892,0.88889,1.27273,0.728487219915151
bobobo-bo-bo-bobo,cmd:3+4,5,0.6465072805403531,1.3243881935912434,0.9759185270219137,1.0757780784844384,0.75,0.85043,0.33808871016022657
bobobo-bo-bo-bobo,crouchBlock,8,0.6899552246546766,1.4307653299372454,0.7849239038819358,1.4521906458230627,0.75,1.0979,0.8845998437854099
bobobo-bo-bo-bobo,getupStand,8,0.6696027925073424,1.0000931171338043,0.8708171308575514,1.975028824697615,0.75,1.08333,1.3399321491932095
bobobo-bo-bo-bobo,idle,6,0.9074485788457698,1.0197031218797843,0.9999807627566968,1.0000096186216514,1.0,1.0,0.05555008993584134
bobobo-bo-bo-bobo,jableft,4,0.7894016838911068,1.228289121864468,0.9532278412925057,1.1505706545657257,0.9375,1.13158,0.38458412768440653
bobobo-bo-bo-bobo,juggle,2,0.9925972039515382,1.0074027960484617,0.971466786371923,1.028533213628077,1.35,1.35,0.03297489125715414
bobobo-bo-bo-bobo,jump,4,0.9722644680053678,1.0610201046943193,0.9581809172493531,1.0755580025326215,1.0462,1.17434,0.176240065349213
bobobo-bo-bo-bobo,kickleft,6,0.8780761444842808,1.7288916298208754,0.8419140212614472,1.1602219439738775,0.8246,1.13636,0.7534369218664028
bobobo-bo-bo-bobo,knockdown,4,0.9999924506081035,1.0000075493918965,0.8963758861727718,1.0282537376071195,0.75,0.75,0.10362864346236615
bobobo-bo-bo-bobo,sprint,10,0.4874789954872638,1.919331777342633,0.5095020558503885,1.4398852930388368,0.75,1.35,1.3420970105551913
bobobo-bo-bo-bobo,walkForward,8,0.7669206939503698,1.339418979894393,0.9708729335156175,1.0666875305408685,0.85043,0.93434,0.3122939184775042
caramelman-j,backflip,8,0.9288932226352824,1.2625859652248106,0.8642895086904412,1.2324797281575561,0.9468,1.35,0.5916313072924426
caramelman-j,chargeKi,8,0.8297914069786699,1.138313822229583,0.9342353505378752,1.3668043711643372,0.93812,1.35,0.6748695269771352
caramelman-j,crouchBlock,7,0.8783593887229932,1.038620836299426,0.7105275549026256,1.008371944099145,0.75,1.02988,0.5023968118635784
caramelman-j,idle,6,1.0,1.0217438573602957,1.0,1.021753872159761,0.97872,1.0,0.0454401865759384
caramelman-j,jableft,8,0.840513501976067,1.2313753976232116,0.8572614240908193,1.0000124673400217,1.15736,1.35,0.3778838144831077
caramelman-j,jabright,8,0.8808194527753426,1.2685053194977014,0.794293703515534,1.0723925724174024,1.0,1.35,0.5418094881830869
caramelman-j,juggle,2,0.9769769115050037,1.0230230884949965,0.9602683711447467,1.0397316288552532,0.78932,0.82654,0.07215548195225116
caramelman-j,jump,8,0.664881961275061,1.1195488602702404,0.9376308180570293,1.3664025156008137,0.97872,1.35,0.7531133388357771
caramelman-j,kickleft,8,0.9578943957936052,1.10839057263992,0.9442320544067929,1.021753872159761,0.92411,1.0,0.15874728917715902
caramelman-j,kickright,8,0.9838882972654319,1.1082987867493248,0.8703029704437146,1.3718857255734709,0.85157,1.33591,0.6790349976230656
caramelman-j,sidestepLeft,8,0.9442314998725538,1.0849560671568934,0.847550389311839,1.0666759646228798,0.85157,1.06667,0.310973250982297
caramelman-j,sidestepRight,2,0.9163707894463511,1.083629210553649,0.9562131204024739,1.043786879597526,0.95433,1.04178,0.13768940592971546
caramelman-j,sprint,10,0.7591962119847886,1.472703197991589,0.7218033891194825,1.132434623715769,0.89567,1.35,0.788983529675471
caramelman-j,walkForward,9,0.9349587986555349,1.2087986555350752,0.9489370107903898,1.0421294352946988,0.92411,1.01491,0.22174218253065525
cygnus-hyoga,backflip,8,0.7197698135198136,1.1775270184361095,0.8333193056033167,1.0263248389416197,0.83333,1.02632,0.43131380628479504
cygnus-hyoga,chargeKi,7,0.4923458429335728,3.183133518178623,0.9997499487074273,1.8000102585145672,0.75,1.35,2.409890369421741
cygnus-hyoga,crouch,8,0.7197698135198136,1.1775270184361095,0.8333193056033167,1.0263248389416197,0.83333,1.02632,0.43131380628479504
cygnus-hyoga,crouchBlock,8,0.7798690310941143,1.3138733433873502,0.8602479161035135,1.0966012213757304,0.75,0.95604,0.4310960899288966
cygnus-hyoga,jableft,8,0.7197698135198136,1.1775270184361095,0.8333193056033167,1.0263248389416197,0.83333,1.02632,0.43131380628479504
cygnus-hyoga,jabright,8,0.7798690310941143,1.3138733433873502,0.8602479161035135,1.0966012213757304,0.75,0.95604,0.4310960899288966
