id,displayName,key,frame,reason,score,heightRatio,seqMedianH,widthRatio,seqMedianW,scale
kakashi-hatake,Kakashi Hatake,knockdown,34,very-low-scale,0.130,0.420,0.420,1.008,1.008,0.42
kakashi-hatake,Kakashi Hatake,knockdown,36,very-low-scale,0.130,0.420,0.420,1.008,1.008,0.42
kakashi-hatake,Kakashi Hatake,getupStand,34,very-low-scale,0.130,0.420,1.000,1.008,1.000,0.42
kakashi-hatake,Kakashi Hatake,getupStand,36,very-low-scale,0.130,0.420,1.000,1.008,1.000,0.42
kakashi-hatake,Kakashi Hatake,lose,33,very-low-scale,0.130,0.420,0.420,1.712,1.712,0.42
kazuki-muto,Kazuki Muto,lose,33,very-low-scale,0.130,0.420,0.420,1.214,1.214,0.42
kenshiro,Kenshiro,lose,35,very-low-scale,0.130,0.420,0.420,2.884,2.884,0.42
kinnikuman,Kinnikuman,lose,32,very-low-scale,0.130,0.420,0.420,2.410,2.410,0.42
momotaro-tsurugi,Momotaro Tsurugi,lose,30,very-low-scale,0.130,0.420,0.420,1.795,1.795,0.42
naruto-uzumaki-nine-tails-kyubi,Naruto Uzumaki (Nine-Tails_Kyubi),lose,33,very-low-scale,0.130,0.420,0.420,1.285,1.285,0.42
pegasus-seiya,Pegasus Seiya,knockdown,33,very-low-scale,0.130,0.420,0.480,1.371,1.374,0.42
pegasus-seiya,Pegasus Seiya,getupStand,33,very-low-scale,0.130,0.420,1.000,1.371,1.367,0.42
taikoubou,Taikoubou,lose,31,very-low-scale,0.130,0.420,0.420,2.516,2.516,0.42
vegeta-super-saiyan,Vegeta (Super Saiyan),knockdown,32,very-low-scale,0.130,0.420,0.470,1.933,1.929,0.42
vegeta-super-saiyan,Vegeta (Super Saiyan),getupStand,32,very-low-scale,0.130,0.420,1.000,1.933,1.000,0.42
vegito,Vegito,knockdown,31,very-low-scale,0.130,0.420,0.510,1.745,1.742,0.42
vegito,Vegito,getupStand,31,very-low-scale,0.130,0.420,1.000,1.745,1.000,0.42
yoh-asakura,Yoh Asakura,knockdown,34,very-low-scale,0.130,0.420,0.460,0.942,0.946,0.42
yoh-asakura,Yoh Asakura,getupStand,34,very-low-scale,0.130,0.420,0.510,0.942,0.946,0.42
gohan-super-saiyan,Gohan (Super Saiyan),knockdown,31,very-low-scale,0.120,0.430,1.000,1.063,1.062,0.43
gohan-super-saiyan,Gohan (Super Saiyan),getupStand,31,very-low-scale,0.120,0.430,1.000,1.063,1.000,0.43
kenshin-himura,Kenshin Himura,knockdown,30,very-low-scale,0.120,0.430,0.430,1.657,1.657,0.43
kenshin-himura,Kenshin Himura,getupStand,30,very-low-scale,0.120,0.430,0.450,1.657,1.646,0.43
lenalee-lee,Lenalee Lee,knockdown,35,very-low-scale,0.120,0.430,0.530,0.952,0.956,0.43
lenalee-lee,Lenalee Lee,getupStand,35,very-low-scale,0.120,0.430,1.000,0.952,1.000,0.43
taikoubou,Taikoubou,knockdown,32,very-low-scale,0.120,0.430,0.410,1.376,1.365,0.43
taikoubou,Taikoubou,getupStand,32,very-low-scale,0.120,0.430,1.000,1.376,1.000,0.43
toshiro-hitsugaya,Tōshirō Hitsugaya,knockdown,33,very-low-scale,0.120,0.430,0.430,0.834,0.847,0.43
toshiro-hitsugaya,Tōshirō Hitsugaya,knockdown,35,very-low-scale,0.120,0.430,0.430,0.849,0.847,0.43
toshiro-hitsugaya,Tōshirō Hitsugaya,getupStand,33,very-low-scale,0.120,0.430,0.840,0.834,0.840,0.43
