characterId,displayName,animation,frame,reason,measure,adjacentRatio,medianRatio,scaleSource,scaleWidth,scaleHeight,flags
"train-heartnet","Train Heartnet","sprint","31","adjacent-1.56;default-next-to-frame-scale","2.0374","1.5561","1.0015","default","1.0800","1.2000","wide-body-vs-idle"
"bobobo-bo-bo-bobo","Bobobo-bo Bo-bobo","sprint","31","adjacent-1.55","1.5536","1.5536","1.3730","default","0.9300","1.1800",""
"bobobo-bo-bo-bobo","Bobobo-bo Bo-bobo","sprint","30","adjacent-1.55","1.0000","1.5536","1.1315","default","0.9300","1.1800",""
"eve","Eve","jableft","81","adjacent-1.55","1.5495","1.5495","1.3149","default","0.8600","1.0400",""
"eve","Eve","jableft","80","adjacent-1.55","1.0000","1.5495","1.1784","default","0.8600","1.0400",""
"monkey-d-luffy-2nd-gear","Monkey D. Luffy (2nd Gear)","cmd:1+2","86","adjacent-1.55","1.2379","1.5473","1.4615","default","1.0800","1.1600",""
"monkey-d-luffy-2nd-gear","Monkey D. Luffy (2nd Gear)","cmd:1+2","85","adjacent-1.55","1.9154","1.5473","1.0587","default","1.0800","1.1600","possible-two-character-crop"
"ryotsu-kankichi","Ryotsu Kankichi","sprint","37","adjacent-1.55","1.0000","1.5466","1.2489","default","0.8200","1.0800",""
"ryotsu-kankichi","Ryotsu Kankichi","sprint","36","adjacent-1.55","1.5466","1.5466","1.2384","default","0.8200","1.0800",""
"goku-super-saiyan","Goku (Super Saiyan)","sprint","32","adjacent-1.55;default-next-to-frame-scale","1.7573","1.5463","1.3646","default","1.0000","1.2600","wide-body-vs-idle"
"goku-super-saiyan","Goku (Super Saiyan)","sprint","33","adjacent-1.55","1.1364","1.5463","1.1332","default","1.0000","1.2600",""
"vegito","Vegito","sprint","32","adjacent-1.55;default-next-to-frame-scale","1.8319","1.5463","1.3539","default","1.1600","1.1000","wide-body-vs-idle"
"vegito","Vegito","sprint","33","adjacent-1.55","1.1847","1.5463","1.1421","default","1.1600","1.1000",""
"kenshin-himura","Kenshin Himura","jableft","75","adjacent-1.55","1.5453","1.5453","1.2495","default","1.0400","1.1800",""
"kenshin-himura","Kenshin Himura","jableft","74","adjacent-1.55","1.0000","1.5453","1.2368","default","1.0400","1.1800",""
